tweet_id,user_id,user_name,followers_count,friends_count,user_location,text,retweet_count
704818863104401408,3532804813,Joe C,1587,7,None,"RT @ApocalypseHow: The CEO of NASCAR has endorsed Donald Trump. He said, “I’m in favor of anything that keeps changing direction and makes …",0
704818863276314624,59908391,DianeForBernie,755,723,"Richardson, TX","RT @billmckibben: All I can say is, if you're voting with a hope of slowing global warming, #feelthebern. @BernieSanders has been the real …",0
704818864002088961,154438524,howard constantine,108,447,"Norwich, Uk",RT @NewYorker: Revisit @tnyCloseRead on Donald Trump’s efforts to demonize five teens who were wrongly convicted of rape: https://t.co/pA8l…,0
704818864060653568,202465898,caleb,2463,164,None,Hillary Clinton projected to win Georgia. Trump for Republicans.,0
704818864056569858,473997247,【=◈︿◈=】,2792,289,Córdoba ,@realDonaldTrump shut up faggot,0
704818863792328705,2186300442,Crave for News,50786,1,None,Donald Trump isn’t the only joke candidate running for president https://t.co/WYsBPmR6ox https://t.co/nq6TcQzglh,0
704818864211804161,1972519165,Afshin Rattansi,3866,1342,London,"RT @cnni: BREAKING: CNN projects @HillaryClinton wins Virginia &amp; Georgia, @BernieSanders wins Vermont https://t.co/szSF5WyjNt https://t.co/…",0
704818864039792646,135142887,Miranda Jr.,2713,688,"Natal, RN / Brasil.","Todos os Democratas torcem por Trump, pois só assim tanto Hillary como Sanders venceria a eleição nos EUA.",0
704818863972577280,51152908,Carlos Franganillo,29703,1473,Estados Unidos,"Clinton gana en Virginia y Georgia. Sanders, en Vermont. Son proyecciones de CNN https://t.co/kOMUns49hM",0
704818864060665856,43182702,Defund NPR PBS & NEA,8593,1334,Arizona,That's a new trick!!! #Clinton  https://t.co/C8bnUMER1l,0
704818864425664512,123351454,MarioVB,520,494,Santiago,Georgia y Virginia para @HillaryClinton y Vermont para @BernieSanders según #CNNELECTION #SuperTuesday,0
704818863972622336,104399770,Swanson Nation,158,395,"California, USA","@FrankLuntz @realDonaldTrump 

Nah.",0
704818864220033024,4888990768,Mike Sawyer,16,19,"Modoc Plateau, CA","@NomoKnows @teddyschleifer I fear so, the opponent slated the LOSE against Hillary this fall. Self fulfilling results?",0
704818863511355393,4183685679,GOPSPN2,58,223,United States,RT @mmurraypolitics: NBC News projects Donald Trump wins GA; VT too early to call; and VA too close to call - with Trump/Rubio vying for 1st,0
704818864513806336,701976635810123776,Dana Diamond,8,0,None,#SuperTuesday Hillary Clinton  #FightingForUs MASSIVE 8ft BANNER Sign  #DEMS #optrump https://t.co/7GC3q4K7fc,0
704818864702562307,3950708835,Holly,1678,1400,"Florida, USA","RT @realDonaldTrump: Lets go America! Get out &amp; #VoteTrump! #Trump2016
#MakeAmericaGreatAgain!
#SuperTuesday https://t.co/w0eAglHeh8 https:…",0
704818864752734208,2341180687,•,340,484,None,RT @thelittleidiot: ultimately @realDonaldTrump makes his supporters feel strong and good. and no facts or reason can interrupt that. just …,0
704818863930626049,272266355,beantbear,119,176,None,"RT @TrumpNewMedia: @realDonaldTrump America get out &amp; #VoteTrump if you don't #VoteTrump NOTHING will change it's that simple!
#Trump https…",0
704818863452643328,1064580110,Kristen Casselberry,201,150,None,@realDonaldTrump https://t.co/98yJKzcDfN,0
704818864752889856,4166669585,Mary King,181,1373,None,"RT @FrankLuntz: My focus group of Republican voters say GOP should unite behind @realDonaldTrump if he wins big on #SuperTuesday.

https://…",0
704818864517836800,235418378,Audit Man,1116,954,The Middle,"@fuegote but a Democrat supporting payday lender scum. There might not be a point anymore, give it to @realDonaldTrump and enjoy the ride",0
704818865251848192,14997156,Kim Frederick,2480,853,United States,Hillary wins Georgia and Virginia!!!  #ImWithHer #ShesWithUs #SuperTuesday,0
704818865331531777,3346686501,Annette,59,559,Kansas,RT @lopezdoriga: Premio Nobel se lanza en contra de Donald Trump. No se guardó nada. Directo a la yugular https://t.co/Q37pVBMZEu,0
704818865407172608,159334308,Elizabeth Curtiss,1048,1032,None,"@BillHaslam so u got that vote in for corrupt dishonest no show @marcorubio Hope you don't run again, you certainly want get my vote.",0
704818865474281472,1447267922,syed,213,180,None,RT @voxdotcom: Bernie Sanders wins Vermont Democratic primary https://t.co/7aXT1hPEMl,0
704818865524629504,552375933,Damo,1775,2187,A Fun Place,RT @zokavera3344: Voting or caucusing for Bernie on #SuperTuesday? Use #iVoted or #iCaucused for #BernieSanders https://t.co/27xkKSpGUt,0
704818864186593282,23238058,Oppenen Bréif,436,63,Luxembourg,"FLASH – USA 2016/#SuperTuesday: D’Hillary Clinton gewënnt demokratesch Virwahlen zu Georgia &amp; Virginia. (CNN, NBC) https://t.co/8U6Z06e5hA",0
704818865751126016,41344876,Muriel Katz,175,387,"Florida, U.S.A.",RT @ChristinaWLKY: Check it out. A @realDonaldTrump supporter in #Louisville. https://t.co/EnQJ0GsfSf,0
704818865595949056,465101253,Lesley,2301,2502,None,@realDonaldTrump wins Georgia!,0
704818866015346688,264470355,Vinod Parthasarathy,691,627,"Plymouth, MA",RT @CBSNews: BREAKING: CBS News projects @HillaryClinton wins GA and VA primaries; @BernieSanders wins VT https://t.co/NsEIZa49Zz https://t…,0
704818865813848066,2694663638,maAARRRRRRRie™,884,383,xander | 50415 | they/he,@realDonaldTrump ugly,0
704818865990021120,2160736098,Janis Jones,1180,971,Los Angeles,"RT @ae4ca: I voted!  Good luck, Bernie! @SenSanders @11papyrus11 @Lovra2 @Saoirse_Z  #SuperTuesday #VOTE #IntegrityMatters @SenWarren",0
704818865948254208,172607052,Hunter Rodriguez,1562,1888,"Maryland, USA",RT @cnnbrk: CNN projects: @HillaryClinton wins Georgia and Virginia. @BernieSanders wins Vermont. https://t.co/nAz9i6Qi1d,0
704818866086678532,16368162,emanzi,658,1078,"Lakeland, FL","RT @MaryMorientes: Hillary's is running, so our daughters can fly. #ImWithHer  #HillaryClinton Hillary Clinton https://t.co/kNfg6gMDP7",0
704818865767882753,4660585881,PolitDecals,61,2,None,#SuperTuesday Hillary Clinton #ImWithHer Huge White Custom Decal  #TopProg #FeelTheBern https://t.co/qWyaFiJ83c,0
704818866577346560,750444726,Informed Voting,620,2451,New York City,RT @voxdotcom: Bernie Sanders wins Vermont Democratic primary https://t.co/7aXT1hPEMl,0
